Proband_ID,1X,2X,10X,20X,30X,40X,50X,100X
FR07958885,0.996889,0.995945,0.986334,0.972931,0.880986,0.439132,0.075447,0.003173
FR07958909,0.997495,0.997049,0.991073,0.983704,0.970596,0.864642,0.434195,0.004725
FR07958917,0.995529,0.993722,0.979829,0.952302,0.747935,0.264836,0.034073,0.002292
FR07959023,0.997183,0.996433,0.988371,0.979628,0.94001,0.623943,0.161149,0.003439
FR07959030,0.997074,0.996387,0.988166,0.979473,0.93891,0.61962,0.157619,0.003636
FR07959033,0.996674,0.99547,0.983404,0.959585,0.73238,0.19043,0.018248,0.002606
